judge_run_id,provider,model,prompt_id,repeat_index,longform_id,candidate_id,verdict,evidence_overview_support,evidence_description_support,evidence_transcript_intelligibility,evidence_boundary_observability,confidence_1_5,failure_flags,reason,editorial_score_100,engagement_score_100,judge_score_100,editorial_source_salience_score_0_4,editorial_source_salience_reason,editorial_self_contained_clarity_score_0_4,editorial_self_contained_clarity_reason,editorial_progression_payoff_score_0_4,editorial_progression_payoff_reason,editorial_boundary_integrity_score_0_4,editorial_boundary_integrity_reason,engagement_opening_pull_score_0_4,engagement_opening_pull_reason,engagement_change_or_surprise_score_0_4,engagement_change_or_surprise_reason,engagement_emotional_or_information_gain_score_0_4,engagement_emotional_or_information_gain_reason,engagement_memorable_specificity_score_0_4,engagement_memorable_specificity_reason
codex_direct_shortform_judge_v10,openai_codex,codex,shortform_judge_v10_ko,1,dLapBWDi5BE,PJ_75b805ad6112cf,score,5,4,3,5,4,awkward_start|awkward_end|weak_opening,"여행 경험이 없다는 고백과 무인도 예능 제안은 독립적으로 이해되지만, 시작과 종료가 발화 중간에 걸려 경계 완결성이 낮다.",56.25,62.5,59.375,2,독립 주제는 있으나 주변 장면으로 대체 가능한 보통 구간이다.,3,후보 안의 설명과 대사만으로 중심 상황을 이해할 수 있다.,3,상황이 의미 있게 진행되어 반응이나 결론에 도달한다.,1,시작과 종료 모두 핵심 발화 또는 인접 장면에 크게 걸친다.,2,중심 주제는 보이지만 즉각적인 궁금증이나 긴장은 보통이다.,3,발견·반응·관점 전환이 분명하게 일어난다.,2,일부 웃음·공감·정보는 있으나 강도는 보통이다.,3,제목·요약으로 뽑을 수 있는 구체적 상황이나 문장이 있다.
codex_direct_shortform_judge_v10,openai_codex,codex,shortform_judge_v10_ko,1,bvUS-ri9nqQ,PJ_02081f840e75aa,score,5,4,4,5,4,,"서로의 헤어스타일과 옷차림을 공격하는 중심 갈등이 선명하고 투표 제안까지 이어지지만, 비슷한 공방이 반복되어 전환 강도는 보통이다.",81.25,68.75,75.0,3,원본의 한 주제를 담당하는 의미 있는 구간이다.,4,첫 의미 단위에서 상황을 잡고 원본 없이도 정확히 이해된다.,3,상황이 의미 있게 진행되어 반응이나 결론에 도달한다.,3,필요한 맥락을 포함하며 대체로 자연스럽게 끝난다.,3,첫 의미 단위에서 갈등·질문·웃음·유용한 약속이 제시된다.,2,작은 변화나 반응은 있으나 전환 강도는 보통이다.,3,분명한 웃음·공감·긴장 또는 유용한 정보가 있다.,3,제목·요약으로 뽑을 수 있는 구체적 상황이나 문장이 있다.
codex_direct_shortform_judge_v10,openai_codex,codex,shortform_judge_v10_ko,1,355LIXPCgEg,PJ_cf7e06f648490c,score,4,4,3,5,4,,곱창 즉석 랩이 엉뚱한 수술 고백처럼 들리는 순간으로 전환되어 분명한 웃음과 인용 가능한 결말이 생긴다.,68.75,87.5,78.125,2,독립 주제는 있으나 주변 장면으로 대체 가능한 보통 구간이다.,3,후보 안의 설명과 대사만으로 중심 상황을 이해할 수 있다.,3,상황이 의미 있게 진행되어 반응이나 결론에 도달한다.,3,필요한 맥락을 포함하며 대체로 자연스럽게 끝난다.,3,첫 의미 단위에서 갈등·질문·웃음·유용한 약속이 제시된다.,4,예상을 뒤집는 반전이나 변화가 장면의 중심을 이룬다.,3,분명한 웃음·공감·긴장 또는 유용한 정보가 있다.,4,왜곡 없이 바로 인용·제목화할 수 있는 고유한 순간이 강하다.
codex_direct_shortform_judge_v10,openai_codex,codex,shortform_judge_v10_ko,1,1O4hJxumimA,PJ_3f49167e0c14e8,score,5,4,3,5,4,weak_opening,"프랑스의 낯선 사람 인사 예절을 사례와 결과로 설명해 정보 이득이 분명하지만, 도입과 마무리가 주변 장면에 조금 걸친다.",81.25,68.75,75.0,3,원본의 한 주제를 담당하는 의미 있는 구간이다.,4,첫 의미 단위에서 상황을 잡고 원본 없이도 정확히 이해된다.,3,상황이 의미 있게 진행되어 반응이나 결론에 도달한다.,3,필요한 맥락을 포함하며 대체로 자연스럽게 끝난다.,2,중심 주제는 보이지만 즉각적인 궁금증이나 긴장은 보통이다.,2,작은 변화나 반응은 있으나 전환 강도는 보통이다.,4,강한 감정 반응이나 새롭고 유용한 정보가 명확한 정점에 도달한다.,3,제목·요약으로 뽑을 수 있는 구체적 상황이나 문장이 있다.
codex_direct_shortform_judge_v10,openai_codex,codex,shortform_judge_v10_ko,1,rORE8KqiWQw,PJ_cfff62e01451be,score,4,2,2,4,3,weak_source_salience|context_dependent|weak_progression|weak_payoff|awkward_start|awkward_end|weak_opening|no_change|low_gain|not_memorable|asr_degraded,휴대전화를 찾는 장면과 과장된 불평이 서로 연결되지 않아 중심 사건과 진행을 복원하기 어렵고 양쪽 경계도 불완전하다.,18.75,25.0,21.875,1,원본의 연결 장면에 가까워 대표성이 낮다.,1,설명과 대사를 함께 봐도 중요한 전제가 빠져 있다.,0,서로 연결되는 진행이나 도착점이 없다.,1,시작과 종료 모두 핵심 발화 또는 인접 장면에 크게 걸친다.,1,도입이 준비·이동·잡담에 가까워 주목성이 낮다.,1,화제는 이어지지만 예상 변화나 관점 전환이 거의 없다.,1,반응이나 정보가 약해 정점에 도달하지 않는다.,1,상황이 일반적이어서 기억할 구체성이 약하다.
codex_direct_shortform_judge_v10,openai_codex,codex,shortform_judge_v10_ko,1,YtdkGHLFhhU,PJ_bc4c3c2f9c860d,score,5,5,4,5,4,,"메이드 카페 입구의 기대와 분홍색 공간, '주인님' 인사가 연속적으로 반응을 키워 하나의 독립 장면으로 완성된다.",81.25,75.0,78.125,3,원본의 한 주제를 담당하는 의미 있는 구간이다.,4,첫 의미 단위에서 상황을 잡고 원본 없이도 정확히 이해된다.,3,상황이 의미 있게 진행되어 반응이나 결론에 도달한다.,3,필요한 맥락을 포함하며 대체로 자연스럽게 끝난다.,3,첫 의미 단위에서 갈등·질문·웃음·유용한 약속이 제시된다.,3,발견·반응·관점 전환이 분명하게 일어난다.,3,분명한 웃음·공감·긴장 또는 유용한 정보가 있다.,3,제목·요약으로 뽑을 수 있는 구체적 상황이나 문장이 있다.
codex_direct_shortform_judge_v10,openai_codex,codex,shortform_judge_v10_ko,1,RoYUmoP7m64,PJ_d8aa2ff34ba552,score,5,5,4,5,4,weak_opening,메이크업 체험 과정과 연예인 이름을 활용한 농담이 자연스럽게 이어지고 변화 확인까지 도달하지만 도입의 힘은 보통이다.,81.25,68.75,75.0,3,원본의 한 주제를 담당하는 의미 있는 구간이다.,4,첫 의미 단위에서 상황을 잡고 원본 없이도 정확히 이해된다.,3,상황이 의미 있게 진행되어 반응이나 결론에 도달한다.,3,필요한 맥락을 포함하며 대체로 자연스럽게 끝난다.,2,중심 주제는 보이지만 즉각적인 궁금증이나 긴장은 보통이다.,3,발견·반응·관점 전환이 분명하게 일어난다.,3,분명한 웃음·공감·긴장 또는 유용한 정보가 있다.,3,제목·요약으로 뽑을 수 있는 구체적 상황이나 문장이 있다.
codex_direct_shortform_judge_v10,openai_codex,codex,shortform_judge_v10_ko,1,b0f0fMlhGd0,PJ_33f9fa14119072,score,5,4,3,5,4,weak_opening,"아기 트림을 시키는 목표와 냄새 착각, 실제 트림이라는 결과가 이어져 진행과 반응이 분명하나 초반 진입은 다소 느리다.",75.0,68.75,71.875,3,원본의 한 주제를 담당하는 의미 있는 구간이다.,3,후보 안의 설명과 대사만으로 중심 상황을 이해할 수 있다.,3,상황이 의미 있게 진행되어 반응이나 결론에 도달한다.,3,필요한 맥락을 포함하며 대체로 자연스럽게 끝난다.,2,중심 주제는 보이지만 즉각적인 궁금증이나 긴장은 보통이다.,3,발견·반응·관점 전환이 분명하게 일어난다.,3,분명한 웃음·공감·긴장 또는 유용한 정보가 있다.,3,제목·요약으로 뽑을 수 있는 구체적 상황이나 문장이 있다.
codex_direct_shortform_judge_v10,openai_codex,codex,shortform_judge_v10_ko,1,mverbGxXN0M,PJ_4a972ad299af4c,score,5,4,3,5,4,awkward_end|weak_opening,대구 출신이라는 공통점을 발견해 사투리로 가까워진 뒤 상대를 모른다는 답으로 뒤집혀 강한 반응과 결말이 생기지만 종료가 다음 대화에 걸친다.,75.0,87.5,81.25,3,원본의 한 주제를 담당하는 의미 있는 구간이다.,3,후보 안의 설명과 대사만으로 중심 상황을 이해할 수 있다.,4,setup과 변화가 강한 결과·답변·반응으로 완전히 회수된다.,2,이해는 되지만 도입이나 종료 중 적어도 하나가 부자연스럽다.,2,중심 주제는 보이지만 즉각적인 궁금증이나 긴장은 보통이다.,4,예상을 뒤집는 반전이나 변화가 장면의 중심을 이룬다.,4,강한 감정 반응이나 새롭고 유용한 정보가 명확한 정점에 도달한다.,4,왜곡 없이 바로 인용·제목화할 수 있는 고유한 순간이 강하다.
codex_direct_shortform_judge_v10,openai_codex,codex,shortform_judge_v10_ko,1,1WwG6ZQQ_Yg,PJ_bc6eaa1c47c254,score,4,3,2,4,3,context_dependent|weak_progression|weak_payoff|awkward_start|awkward_end|weak_opening|asr_degraded,"안무 동작을 독특한 자세에 빗대고 당사자가 마지못해 인정하는 반응은 있으나, 긴 공백과 주변 화제 전환으로 장면 밀도가 낮다.",50.0,56.25,53.125,2,독립 주제는 있으나 주변 장면으로 대체 가능한 보통 구간이다.,2,대체로 이해되지만 인물·상황·논점의 일부가 불명확하다.,2,진행 또는 결론 중 하나는 있으나 회수가 약하다.,2,이해는 되지만 도입이나 종료 중 적어도 하나가 부자연스럽다.,2,중심 주제는 보이지만 즉각적인 궁금증이나 긴장은 보통이다.,3,발견·반응·관점 전환이 분명하게 일어난다.,2,일부 웃음·공감·정보는 있으나 강도는 보통이다.,2,요약 가능한 주제는 있으나 고유한 한 문장이나 상황은 약하다.
