pair_id,long_video_id,short_video_id,run_id,selector_type,prompt_id,model_name,rank,pred_start_sec,pred_end_sec,pred_duration_sec,gold_start_sec,gold_end_sec,gold_duration_sec,overlap_sec,gold_coverage,temporal_iou,start_error_sec,end_error_sec,center_error_sec,length_score,start_score,core_hit,tight_hit,final_score,selected_scene_ids,confidence,notes
P001,NS7tSrMrWsc,c8vCVztYVg8,vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,1,1338.95,1398.95,60.0,1339.0,1356.0,17.0,17.0,1.0,0.2833333333333333,0.049999999999954525,42.950000000000045,21.450000000000045,0.2833333333333333,0.9950000000000045,True,False,71.2583333333334,,0.88,vpick_shortform_id=141e4704-b07b-4238-8006-6bce2e7a1e43; title=서울말 쓰는 친구 본 찐친 반응
P002,NS7tSrMrWsc,M-UsuPm7zcM,vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,1,1338.95,1398.95,60.0,477.0,501.0,24.0,0.0,0.0,0.0,861.95,897.95,879.95,0.4,0.0,False,False,4.000000000000001,,0.88,vpick_shortform_id=141e4704-b07b-4238-8006-6bce2e7a1e43; title=서울말 쓰는 친구 본 찐친 반응
P003,NS7tSrMrWsc,Fxc1_HkGlBw,vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,1,1338.95,1398.95,60.0,581.0,614.0,33.0,0.0,0.0,0.0,757.95,784.95,771.45,0.55,0.0,False,False,5.500000000000001,,0.88,vpick_shortform_id=141e4704-b07b-4238-8006-6bce2e7a1e43; title=서울말 쓰는 친구 본 찐친 반응
P004,NS7tSrMrWsc,QQmGNdNgs8w,vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,1,1338.95,1398.95,60.0,1500.0,1541.0,41.0,0.0,0.0,0.0,161.04999999999995,142.04999999999995,151.54999999999995,0.6833333333333333,0.0,False,False,6.833333333333334,,0.88,vpick_shortform_id=141e4704-b07b-4238-8006-6bce2e7a1e43; title=서울말 쓰는 친구 본 찐친 반응
P005,NS7tSrMrWsc,QEpr_lLWw-0,vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,1,1338.95,1398.95,60.0,1271.0,1329.0,58.0,0.0,0.0,0.0,67.95000000000005,69.95000000000005,68.95000000000005,0.9666666666666667,0.0,False,False,9.666666666666668,,0.88,vpick_shortform_id=141e4704-b07b-4238-8006-6bce2e7a1e43; title=서울말 쓰는 친구 본 찐친 반응
P006,NS7tSrMrWsc,JFpNSb2pqLQ,vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,1,1338.95,1398.95,60.0,1202.0,1257.0,55.0,0.0,0.0,0.0,136.95000000000005,141.95000000000005,139.45000000000005,0.9166666666666666,0.0,False,False,9.166666666666668,,0.88,vpick_shortform_id=141e4704-b07b-4238-8006-6bce2e7a1e43; title=서울말 쓰는 친구 본 찐친 반응
P001,NS7tSrMrWsc,c8vCVztYVg8,vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,2,289.9,309.6,19.700000000000045,1339.0,1356.0,17.0,0.0,0.0,0.0,1049.1,1046.4,1047.75,0.8629441624365463,0.0,False,False,8.629441624365464,,0.88,vpick_shortform_id=74b3293a-1854-4c12-b096-a991efde5f30; title=서울말 쓰면 끝! 사투리 대결
P002,NS7tSrMrWsc,M-UsuPm7zcM,vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,2,289.9,309.6,19.700000000000045,477.0,501.0,24.0,0.0,0.0,0.0,187.10000000000002,191.39999999999998,189.25,0.8208333333333352,0.0,False,False,8.208333333333352,,0.88,vpick_shortform_id=74b3293a-1854-4c12-b096-a991efde5f30; title=서울말 쓰면 끝! 사투리 대결
P003,NS7tSrMrWsc,Fxc1_HkGlBw,vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,2,289.9,309.6,19.700000000000045,581.0,614.0,33.0,0.0,0.0,0.0,291.1,304.4,297.75,0.5969696969696984,0.0,False,False,5.969696969696984,,0.88,vpick_shortform_id=74b3293a-1854-4c12-b096-a991efde5f30; title=서울말 쓰면 끝! 사투리 대결
P004,NS7tSrMrWsc,QQmGNdNgs8w,vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,2,289.9,309.6,19.700000000000045,1500.0,1541.0,41.0,0.0,0.0,0.0,1210.1,1231.4,1220.75,0.4804878048780499,0.0,False,False,4.804878048780499,,0.88,vpick_shortform_id=74b3293a-1854-4c12-b096-a991efde5f30; title=서울말 쓰면 끝! 사투리 대결
