"candidate_id","duration_sec","description","transcript","before_context","after_context"
"C_10942df5b9a611","41.691","태용이 여행을 상상하며 만든 수록곡 '문 투어'를 소개하고, 실제 여행 경험이 없다는 말에 출연진이 무인도 예능 출연을 제안한다.","[23:18-23:23] S?: 있잖아 이번
[23:20-23:25] S?: 태웅이의 미니 앨범 트록 곡 중에
[23:23-23:27] S?: 약간 애전 가는 곡 한 곡 제목만
[23:25-23:30] S?: 얘기해 저는 이제 문 투어라는 곡이
[23:27-23:32] S?: 있는데요 투어 여행 달여행 어 그
[23:30-23:34] S?: 저는 여행을 한 번도가 본 적이
[23:32-23:37] S?: 없거든요 어 아 진짜 그래서 항상
[23:34-23:39] S?: 이제 상상의 여행만 하니까 그걸 이제
[23:37-23:41] S?: 문 투어로 표현을 해봐서 태용이
[23:39-23:43] S?: 나이에 여행을 한 번도 가지
[23:41-23:47] S?: 못했다라는 건 많은 분들이 약간 같이
[23:43-23:49] S?: 아 정말 가슴 아파할 것 같거든음
[23:47-23:52] S?: 이거를 한 방에 깨줄 수 있는
[23:49-23:56] S?: 프로그램이 하나 있어 무의자 아고네
[23:52-24:00] S?: 되게 낭만 있다 나중에 데고가 주세요
[23:56-24:02] S?: 무인도에이어서 사는 사람들이야
[24:00-24:05] S?: 아 저는 괜찮을 거","[23:03-23:09] S?: [음악]
[23:05-23:10] S?: 같은데 이게 왜 어떤게 감동이며
[23:09-23:13] S?: 여기만 먹고 안에는 그냥 다 빵일 수
[23:10-23:15] S?: 있잖아 다 있어 또 있어 사실 이건
[23:13-23:18] S?: 감동이 이렇게 먹었는데 아까 또
[23:15-23:20] S?: 있을까 또 있잖아 또 있잖아 또
[23:18-23:23] S?: 있잖아 이번","[24:00-24:05] S?: 아 저는 괜찮을 거
[24:02-24:05] S?: [음악]
[24:06-24:10] S?: 같아
[24:08-24:14] S?: 다다다네 카메라 쪽에다가 손가락
[24:10-24:14] S?: 이렇게 해주시면 돼요 네네네
[24:15-24:27] S?: [음악]"
"C_1974865883eee0","96.0","두 여성이 서로의 포니테일과 옷차림이 과한지를 두고 티격태격하다가, 지나가는 사람에게 직접 투표를 받아보자고 맞선다.","[원본 구간 13:27-15:03; 세부 시각은 사용하지 않음]
S1: 근데 우리 한국에서는 약간 친구끼리 만나는데
S1: 이런 머리 하면 좀 과하지 않나?
S2: 혹시 언니, 저 오늘 과해요?
S1: 아니 아니 너가 그렇다는 얘기... 넌 일본인이잖아 괜찮아.
S2: 그럼 언니는 오늘 이 포니테일 뒤로 한 것도 아니고 옆으로 했는데 이거 안 과해요?
S2: 今日、実は先生に聞いちゃったんだけど
S1: 아니 꼭 불리할 때 일본말 하더라.
S2: 머리 3번이나 바꿨다며?
S1: 설명. 설명.
S2: 머리 3번이나 바꾸면서 이렇게 할까 저렇게 할까
S1: 야, 너 머리가 과할까 내 머리가 과할까 너 지나가는 사람들한테 물어볼래?
S2: 야, 너가...
S1: 머리 묶은 것도 아니고 안 묶은 것도 아니고 이게 뭐야.
S2: 머리 어떡하지 막 이래.
S1: 그리고 초록색 티 이런 거 안 입어.
S1: 머리 이렇게 옆으로 하는 게 더 구려.
S2: カワイイ? めっちゃカワイイ! ダサい?
S2: ムリムリ
S2: ギャルはそういうのしないから ギャルはこういうなんか...
S1: 야, 너 투표해 볼래 나가서?
S2: したいならいいけど
S1: 너가 샵에서 이 머리 할 때부터 과하다고 생각했어.
S1: 그래서 이 머리 하지 말라고 했잖아!","[13:13-13:21] S1: 나 오늘 하고 느꼈던 거는 이러고 불꽃 축제 가야 될 것 같아요. 불꽃 축제 이런 거 있고 말 유카타 카타 본 것 같다. 맞아. 맞아. 맞아. 이런 머리 그럴 때 올림머리 하고
[13:21-13:31] S1: 막 좋아하는 사람이랑 이렇게 불꽃 축제 가서 막 유카타 갑자기 입고 가면 막 좋아하고 이런 근데 우리 한국에서는 약간 친구끼리 만나는데 이런 말 하면 좀 과하지 않나?","[15:04-15:06] >> [웃음]
[15:07-15:10] >> 아 이제 뭐 할까?
[15:10-15:18] 쇼핑 쇼핑 아니면 소레카
[15:16-15:20] 노래방"
"C_1bc72ee5d290cc","45.76","곱창을 주제로 즉석 랩을 만들던 중 한 출연자의 가사가 엉뚱하게 들리면서, 실제 수술 여부를 묻는 대화로 번진다.","[16:38-16:48] S2: 오케이 AI로 랩을 한번 해볼게. 오케이 갑자기 라인 맞춰서 네 마디
[16:48-16:50] S2: 컨치란이 있긴 있네요.
[16:53-16:59] S2: 달라요. 노릇노릇 불판 위에서 익어가는 곱창 고소한 기름 향이
[16:59-17:13] S2: 퍼진 공장 한 점 먹는 순간 눈 앞이 번쩍 동창 친구들아 모여라 오늘 제대로 동창 내가 살게 공짜 이거 맞아요 내가 하면 스타일
[17:13-17:18] S3: 뽕짝 동창에 갈 수 없지. 혼자 혼자 동창에 갈 수 없지. 혼자
[17:18-17:26] S2: 혼자 혼자 나는 정관을 잘랐지. 고자 잘못 들은 거 아니죠
[17:26-17:31] S3: 진짜 수술하셨어요 아 진짜요 진짜 이파 주죠 진짜","[16:23-16:28] S3: 토파민 정확히 있어요. 토파민 캐페인 점점 커지거든요 토파민 노래 같이
[16:28-16:33] S2: 파미 캠페인 카페인 쭉 쭉 쭉 쭉
[16:38-16:48] S2: 오케이 AI로 랩을 한번 해볼게. 오케이 갑자기 라인 맞춰서 네 마디","[17:26-17:31] S3: 진짜 수술하셨어요 아 진짜요 진짜 이파 주죠 진짜
[17:31-17:40] S2: 저희 이제 라이브를 준비를 해야 되는데 네 무조건 하는 게 있어요 이행시 무조건 가고요. 같이 해 주실 수 있다면 함께 해 주시면 감사하겠습니다.
[17:40-17:42] S3: 아 저희는 다 할 거예요.
[17:42-17:51] S2: 자 그런데 혹시 오늘 저를 좀 도와주시기 위해서 곱창 이행 씨가 만약에 나온다 곱창 곱창 이 씨 한번 예시를 한번 몇 개 한번 해보고 무조건 나와요."
"C_277df4844362e1","34.441","프랑스에서는 모르는 사람과 눈이 마주쳐도 웃으며 인사해야 한다는 예절을 배우고, 인사를 하지 않을 때의 인상을 이야기한다.","[5:19-5:22] S?: 앉어서 서로 고기 이렇게 눈 딱
[5:21-5:25] S?: 맞췄어.
[5:22-5:25] S?: >> 우리나라 같으면 인상을 써요.
[5:25-5:27] S?: >> 그죠? 그죠?
[5:25-5:29] S?: >> 그 눈 돌리면 내가 눈싸서이긴 거
[5:27-5:32] S?: 같아. 근데 프랑스 사람들은 딱 눈
[5:29-5:33] S?: 맞추면 입 모양으로
[5:32-5:36] S?: >> 하고 웃으면서 인사를 해요.
[5:33-5:38] S?: >> 그쪽에서 나한테 복추하 나도 봉주
[5:36-5:41] S?: >> 아 그냥 생판 모르는데도 인사는
[5:38-5:43] S?: 거죠. 싸움도 안고 이거는 기본적인
[5:41-5:44] S?: 도덕이고 예의예요.
[5:43-5:46] S?: >> 근데 이런 분한 되게 좋은 거
[5:44-5:47] S?: 같아요. 그러면 안 하면 예의가
[5:46-5:50] S?: 없는게 되는 건가?
[5:47-5:52] S?: >> 어 굉장히 예 없어 보이죠. 그때는
[5:50-5:53] S?: 내가 뭘 부탁을 해도 안 들어줘요.
[5:52-5:55] S?: >> 이거 꼭 알고 가야겠다. 그렇죠.
[5:53-5:56] S?: 무조건
[5:55-5:56] S?: >> 카라고 나왔어.","[5:04-5:07] S?: 알아야죠.
[5:04-5:09] S?: >> 그것도 이제 눈만 맞으며 몽지
[5:07-5:11] S?: >> 그것도 어디서 들었어요?
[5:09-5:12] S?: >> 아 그 정도는 알고 있죠. 근데 좀
[5:11-5:14] S?: 상황극한번 해 주시면 안 돼요. 저를
[5:12-5:17] S?: 만났다. 길에서 어떤 자 뭐
[5:14-5:19] S?: 간단해요. 자 처음 봤어? 처음 보는
[5:17-5:21] S?: 사야. 어하철 그쪽에 앉고 제가 여기
[5:19-5:22] S?: 앉어서 서로 고기 이렇게 눈 딱","[5:55-5:56] S?: >> 카라고 나왔어.
[5:56-5:58] S?: >> 아
[5:56-5:59] S?: >> 이게
[5:58-6:01] S?: >> 신기해.
[5:59-6:03] S?: >> 이게 달팽이데요.
[6:01-6:04] S?: 여기를 누르면 열려. 이렇게.
[6:03-6:05] S?: >> 아
[6:04-6:06] S?: >> 놓으면 다쳐.
[6:05-6:07] S?: >> 눌렀다가
[6:06-6:09] S?: >> 신기하다.
[6:07-6:11] S?: >> 자꾸 힘을 놔.
[6:09-6:13] S?: 힘을 놔. 그럼 딱 잡힌다고 이렇게."
"C_27f17466563176","29.0","남자가 잃어버린 줄 알았던 휴대전화를 바로 찾아낸 뒤, 이어진 상황극에서 상대에게 과장된 불평을 쏟아낸다.","[8:12-8:18] S4: 잠깐만 핸드폰이 어디 있더라 핸드폰이 어디 있더라 여기 있었다.
[8:27-8:33] S2: 왜 안 죽지 제발 죽어라. 목이야 죽어. 너까지 왜 날 무시해","[7:52-7:57] S2: 가기 전에 그거 버버리 벗어 버버리 벗고
[7:57-7:59] S4: 왜 오빠가 나 사준 거잖아.
[7:59-8:07] S2: 당근해야겠다. 몸무게가 바뀐 민건신과 샘문 이렇게 한 번 가보도록 하겠습니다.","[8:39-8:48] S4: 옷가게 전문가 손님 네 안녕하세요. 이야 저희 맞는 옷이 없어요. 나가주세요.
[8:48-8:52] S2: 안녕하세요. 네 저는 이걸 실제로 들은 적이 있습니다.
[8:52-8:54] S4: 이러면 제가 뭐가 됩니까"
"C_2ac88d7a5dd028","46.28","네 남성이 화려한 입구 사진을 보며 메이드 카페에 들어갔다가 온통 분홍색인 내부와 '주인님' 환영 인사에 당황한다.","[1:58-2:05] S1: 가자. 가자. 아 여기 심지어 이름이 러브 엔젤이야. 러브의 엔젤인데 바로 위측에 비몬 헤어라는 미용실이 있네.
[2:05-2:06] S2: 지금 여기 4인조구나
[2:06-2:16] S1: 4인조네 석 석유가 여기 있네. 여기 의사가 여기 이쪽이네. 이 약간 형 닮았다. 네가 여기 있고 내가
[2:16-2:17] S1: 이거네
[2:27-2:30] S1: 맛 지금 여기 오는 사람들은 이걸 보고 들어와서 우리를 봐야 되는 거죠 망했네 진짜 너무 핑크 핑크다. 아 진짜 개 짜증 난다.
[2:30-2:32] S2: 벨 눌러야 된대요.
[2:32-2:35] S6: 너무 핑크 피스야.
[2:35-2:38] S7: 어서 오세요. 주인님
[2:40-2:45] S7: 쪽으로 가신다고요 네 네 네 모실게요. 앞쪽으로 들어와 주세요.
[2:45-2:49] S1: 네 안녕하세요 안녕하세요 안녕하세요
[2:49-2:57] S7: 그럼 저희 바로 인사 드리도록 할게요. 주인 님 돌아오셨습니다. 어 어서 오세요. 주인님","[1:48-1:51] S2: 그런데 형도 진짜 화난 것 같은데 진짜 하기 싫은 것 같은데
[1:51-1:53] S4: 하기 싫은 게 아니라 이게 약간 당황스러워서 그래.
[1:53-1:55] S2: 역대급 잘 나오겠다. 오늘
[1:58-2:05] S1: 가자. 가자. 아 여기 심지어 이름이 러브 엔젤이야. 러브의 엔젤인데 바로 위측에 비몬 헤어라는 미용실이 있네.","[2:49-2:57] S7: 그럼 저희 바로 인사 드리도록 할게요. 주인 님 돌아오셨습니다. 어 어서 오세요. 주인님
[2:57-2:58] S1: 안녕하세요. 반갑습니다.
[2:58-2:59] S7: 아 어서 오세요.
[2:59-3:01] S4: 주인 노릇하러 온
[3:01-3:03] S1: 안녕하세요. 선배님들
[3:03-3:12] S7: 어서 오세요. 네 그럼 저희 우선 일을 하기 전에 옷을 환복하러 가볼까요? 네 그럼 저를 따라와 주세요. 자라고 합니다."
"C_2c6ef4ac5ccb91","60.321","화장품 회사 직원이 남성 출연자에게 쿠션과 셰딩을 직접 발라주고, 출연자는 연예인 이름을 빗댄 농담으로 변화를 확인한다.","[2:06-2:13] S3: 요걸로 피부 한번 닦아보실래요? 모공에 좋은 숯이 들어 있어서 피지 많이 나는 데 위주로 닦으시면 좋아요.
[2:13-2:15] S1: 제가 아는 그 숯 숯불갈비의 그 숯이
[2:15-2:17] S3: 스뿔 갈비를 바르는 아니었어요.
[2:19-2:25] S3: 이렇게 토도도독 발라주세요. 안 바르는데 제가 해드려도 될까요?
[2:25-2:27] S1: 이랑 뭐가 다른 거예요 이게
[2:27-2:29] S3: 쿠션이 더 좋아요.
[2:29-2:30] S1: 아는 게 없는데
[2:30-2:33] S3: 셰딩 해드릴까요?
[2:33-2:36] S1: 조경수처럼 해 주세요. 네네 돼요
[2:36-2:38] S3: 안 되지 않을까요?
[2:40-2:43] S1: 장정수 갑니다. 이제 장은우에서 장정수로
[2:43-2:49] S3: 좀 높아진 것 같지 않아요 눈썹도 되고 아이쉐도도 해 드리고
[2:49-2:52] S1: 옛날에 이제 남자가 화장하는 게 좀 어색한 일이었는데
[2:59-3:03] S1: 뭐 뭐가 좀 달라진 거야 도경수 된 거예요
[3:03-3:05] S3: 아니요 도경수는 어려워요.
[3:05-3:15] S1: 선배님이 보실 때 어떠세요? 장경수 같아요. 한 5초 있다 말씀하셨습니다. 이 파이팅","[1:47-1:54] S1: 그러고 보니까 책상 위에 다들 메이크업 제품들이 있으시구나. 오늘 컨셉이 뭔지 좀 설명해 주실 수 있어요?
[1:54-1:56] S5: 너무 세 보이지는 않고 좀 온화해 보이고
[1:56-2:01] S1: 되게 세 보이시는데 저는 이제 뭐부터 하면 될까요?
[2:01-2:02] S3: 색이 안 좋으셔
[2:02-2:03] S1: 저요
[2:03-2:05] S3: 약간 노라신 것 같아요.
[2:05-2:06] S1: 원래 저 황인종이에요.
[2:06-2:13] S3: 요걸로 피부 한번 닦아보실래요? 모공에 좋은 숯이 들어 있어서 피지 많이 나는 데 위주로 닦으시면 좋아요.","[3:05-3:15] S1: 선배님이 보실 때 어떠세요? 장경수 같아요. 한 5초 있다 말씀하셨습니다. 이 파이팅
[3:15-3:19] S3: 모공 패드 어떻게 콘셉트 가져갈지 공유드리도록 하겠습니다. 검정 색깔 원단인 게 가장 특징적인 제품이고
[3:21-3:30] S1: 검정색으로 한 건 최초예요 네 수를 실제로 5% 함유한 원단 최초 최초 저는 워낙 검정색을 좋아해서 옷도 봐봐요. 오늘"
"C_316ed9c3bf10ba","48.52","두 사람이 아기의 낮잠을 준비하며 트림을 시키려다가 서로의 냄새를 아기 냄새로 착각하고, 뒤늦게 아기가 트림하자 안도한다.","[8:30-8:36] S1: 뭐 먹었다 먹었다 먹었다 먹었다. 귀여워 귀여워 이 뭐 물어보라는 거
[8:36-8:42] S2: 형님 음식은 입맛에 맞으셨어요? 원래 리필은 안 되는데 저희가 특별히 손님만 리필 한 번 해드릴게요.
[8:42-8:45] S1: 아이고 멋있어. 다 드릴게요. 아 이거 너무 귀엽지 않아?
[8:45-8:46] S2: 진짜 너무 귀여워.
[8:46-8:49] S1: 이제 아기 재워야 할 것 같아. 낮잠 시간이야.
[8:49-8:50] S2: 그런데 그러면 트름 시켜야 될까?
[8:50-8:56] S1: 트름 야 너 혹시 트름 혼자 못해? 너무 실망인데 등을 쳐야 해. 아 등이 내 손바닥 맞는데 이걸 어떻게 해 힘 쳐줘.
[8:58-9:02] S7: 서울아 해봅시다. 이 까 한번 조심 조심 조심 서울아 틀어 하자.
[9:02-9:03] S2: 애기 냄새
[9:03-9:05] S7: 오 잠깐만 너무 따뜻해.
[9:05-9:06] S2: 초년 베이비 파우더
[9:06-9:09] S7: 들어가자 들어가자 들어가자.
[9:09-9:15] S1: 지금 서울에 틀리했어 내가 했는데 어쩐지 냄새가 너무 고약해. 나 재욱 냄새 나서 좀 놀랐잖아. 미안해.
[9:15-9:16] S7: 어 우라 들어하자.
[9:16-9:21] S1: 오 지금 트림했다. 어 우리 잘까? 너무 말똥말똥 한데","[8:09-8:16] 있습니다. 자, 그럼 이륙하겠습니다.
[8:13-8:16] 슝.
[8:18-8:20] 안 먹 있다.
[8:19-8:22] >> 안 먹어. 어떡해?
[8:20-8:24] >> 배가 안픈가? 지금 우리 비행기
[8:22-8:25] 남기로로 인해 기차가 많이 흔들리고
[8:24-8:26] 있습니다. 우리 서유 씨께서는 입을
[8:25-8:29] 다시 한번 크게 벌려 주시기
[8:26-8:31] 바라겠습니다. 슈!","[9:16-9:21] S1: 오 지금 트림했다. 어 우리 잘까? 너무 말똥말똥 한데
[9:21-9:24] S2: 안 졸린가 봐. 어떻게 해 어떻게
[9:24-9:26] S1: 어떻게 해요 어디
[9:26-9:27] S2: 체력을 좀 빼놔야
[9:27-9:32] S1: 혼을 좀 빼놓고 좀 잠들 때까지 기다려야 될 것 같아. 놀아줘야겠다."
"C_3282c045450550","33.0","아이스크림을 주문하던 손님과 직원이 서로 대구 출신임을 알아보고 사투리로 반가워하다가, 손님이 상대를 처음 본다고 솔직히 말한다.","[원본 구간 11:07-11:40; 세부 시각은 사용하지 않음]
S1: 블루베리 요거트 하나랑
S2: 라즈베리 크럼블 진짜 맛있어요
S3: 라즈베리 크럼블 맛있어요
S1: 고롷게 세 개
S4: 에 사투리 쓰시네요?
S2: 아 예
S4: 혹시 고향이 어디세요?
S2: 저 대구요
S1: 오 저도 대구예요 우와
S1: 우와 대구 어데 대구 어데 대구 어데예?
S1: 달서구 달서구 달서구 무슨 동?
S2: 유천동
S1: 이야 인물 났네 고향에서 인물 났네
S2: 에헤이 참말로
S1: 아이고나 반갑습니데이
S2: 진짜 반가워요
S1: 야
S1: 이야 살면서 이런 연예인이랑 말해본 게 처음이거든요
S2: 미야오 아세요?
S1: 아 저 저는 모르고 저는 처음 뵙네예","[10:49-10:54] S4: 일부러 여자친구 앞에서는 걸그룹 모르는 척 해요.
[10:58-10:59] S4: 다 됐어요
[10:59-11:01] S1: 어요 안녕히 가세요.
[11:01-11:08] S4: 행복한 데이트 하세요. 감사합니다. 이렇게 이렇게 집니다. 블루베리 요거트랑 네 블루베리 요거트 하나랑","[11:37-11:40] S8: 아니 저 저는 모르고 저는
[11:47-11:51] S1: 이야 너무 좋아해요. 아 진짜요 진짜 너무 너무 좋아.
[11:51-11:57] S4: 아 그래요 저 죄송하지만 주문 먼저 해주시면 안 될까요? 예 리아우를 언제부터 좋아하셨어요?"
"C_359c5677ec565b","83.839","한 출연자가 안무의 다리 동작을 독특한 자세에 빗대며 직접 표현하고, 당사자는 비슷한 점은 있지만 인정하기 싫다고 반응한다.","[13:02-13:03] S1: 섹시 댄스 곡이죠
[13:03-13:04] S3: 아 약간 끈적이네.
[13:04-13:12] S1: 마스터를 받은 게 있어요? 있죠 있죠 있죠 네 어차피 영상 나갈 때는 오픈이 돼서
[13:36-13:38] S3: 뭐 좀 와요.
[13:38-13:41] S1: 펀치가 지금 여기까지 좀 풀어져 있는 것 같은데
[13:41-13:44] S3: 아 그렇죠 어 그럴 거
[13:44-13:50] S1: 아 난 여기서 아이디어 하나가 혹시 댄스 중에 네 다리가 조금
[13:50-13:54] S1: 요 정도로 벌어지는 구간이 좀 있나
[13:56-14:05] S1: 나는 지금 조금 그걸 떠올렸는데 어떤 느낌이 조금 척추 측간이
[14:06-14:08] S3: 아니 이걸 지금 웃길려고 하시는
[14:08-14:11] S1: 아니야 아니야. 진짜 나는 음악을 그냥 몸으로 표현하는 거야.
[14:11-14:21] S3: 진짜 진짜 진짜 아니 근데 좀 비슷한 게 있긴 있는데 인정하기가 싫어가지고
[14:21-14:27] S1: 자 주시죠. 점점 매니아를 생성하고 있는 인기 맛집 비제이.","[12:43-12:48] S3: 저도 나중에 유튜브에서 형님 성대모사 하시는 거 보면 두리아 향기가 생각이 날.
[12:48-12:55] S1: 나도 이제 현우 다음 주에 컴백해가지고 무대를 이제 모니터를 하겠지만 야 둘이 한 냄새는 가셨나?
[12:55-13:01] S1: 가신채로 부르는 건가? 두유 언미잖아. 두리안미","[14:21-14:27] S1: 자 주시죠. 점점 매니아를 생성하고 있는 인기 맛집 비제이.
[14:27-14:28] S3: 아 이제 bj 모드로 하시는
[14:28-14:33] S1: 거죠 완전 비제이에요. 이거는 제가 안 하고 싶어도 슈퍼 채을 쓰면서 시켜버리면 안 할 수가 없어.
[14:33-14:40] S3: 아 그러니까 이제 뭘 뭔가 시키면 이제 그거를 이제 하는 수행하는
[14:40-14:44] S1: 천우 씨 팬들이 들어오면 기본적으로 예상 몇 개 탑스 해 봅니다."
