pair_id,long_video_id,short_video_id,run_id,selector_type,prompt_id,model_name,rank,pred_start_sec,pred_end_sec,pred_duration_sec,gold_start_sec,gold_end_sec,gold_duration_sec,overlap_sec,gold_coverage,temporal_iou,start_error_sec,end_error_sec,center_error_sec,length_score,start_score,core_hit,tight_hit,final_score,selected_scene_ids,confidence,notes
P001,NS7tSrMrWsc,c8vCVztYVg8,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,1,470.6,517.805,47.20499999999993,1339.0,1356.0,17.0,0.0,0.0,0.0,868.4,838.195,853.2975,0.3601313420188545,0.0,False,False,3.6013134201885446,246c138e-17fa-4539-814f-60e3461ca804,5,candidate_id=NS7tSrMrWsc_cand_02; detected_language=ko; detected_genre=variety_vlog; original_start=470.6; original_end=517.805; adjusted=False; 사투리와 음식에 대한 유쾌한 대화로 상황이 명확하고 반응이 풍부함.
P002,NS7tSrMrWsc,M-UsuPm7zcM,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,1,470.6,517.805,47.20499999999993,477.0,501.0,24.0,24.0,1.0,0.5084207181442651,6.399999999999977,16.80499999999995,5.202499999999986,0.5084207181442651,0.3600000000000023,True,True,70.73682872577065,246c138e-17fa-4539-814f-60e3461ca804,5,candidate_id=NS7tSrMrWsc_cand_02; detected_language=ko; detected_genre=variety_vlog; original_start=470.6; original_end=517.805; adjusted=False; 사투리와 음식에 대한 유쾌한 대화로 상황이 명확하고 반응이 풍부함.
P003,NS7tSrMrWsc,Fxc1_HkGlBw,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,1,470.6,517.805,47.20499999999993,581.0,614.0,33.0,0.0,0.0,0.0,110.39999999999998,96.19500000000005,103.29750000000001,0.6990784874483646,0.0,False,False,6.990784874483646,246c138e-17fa-4539-814f-60e3461ca804,5,candidate_id=NS7tSrMrWsc_cand_02; detected_language=ko; detected_genre=variety_vlog; original_start=470.6; original_end=517.805; adjusted=False; 사투리와 음식에 대한 유쾌한 대화로 상황이 명확하고 반응이 풍부함.
P004,NS7tSrMrWsc,QQmGNdNgs8w,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,1,470.6,517.805,47.20499999999993,1500.0,1541.0,41.0,0.0,0.0,0.0,1029.4,1023.195,1026.2975000000001,0.8685520601631197,0.0,False,False,8.685520601631197,246c138e-17fa-4539-814f-60e3461ca804,5,candidate_id=NS7tSrMrWsc_cand_02; detected_language=ko; detected_genre=variety_vlog; original_start=470.6; original_end=517.805; adjusted=False; 사투리와 음식에 대한 유쾌한 대화로 상황이 명확하고 반응이 풍부함.
P005,NS7tSrMrWsc,QEpr_lLWw-0,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,1,470.6,517.805,47.20499999999993,1271.0,1329.0,58.0,0.0,0.0,0.0,800.4,811.195,805.7975,0.8138793103448263,0.0,False,False,8.138793103448263,246c138e-17fa-4539-814f-60e3461ca804,5,candidate_id=NS7tSrMrWsc_cand_02; detected_language=ko; detected_genre=variety_vlog; original_start=470.6; original_end=517.805; adjusted=False; 사투리와 음식에 대한 유쾌한 대화로 상황이 명확하고 반응이 풍부함.
P006,NS7tSrMrWsc,JFpNSb2pqLQ,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,1,470.6,517.805,47.20499999999993,1202.0,1257.0,55.0,0.0,0.0,0.0,731.4,739.195,735.2975,0.858272727272726,0.0,False,False,8.58272727272726,246c138e-17fa-4539-814f-60e3461ca804,5,candidate_id=NS7tSrMrWsc_cand_02; detected_language=ko; detected_genre=variety_vlog; original_start=470.6; original_end=517.805; adjusted=False; 사투리와 음식에 대한 유쾌한 대화로 상황이 명확하고 반응이 풍부함.
P001,NS7tSrMrWsc,c8vCVztYVg8,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,2,1209.2,1254.2,45.0,1339.0,1356.0,17.0,0.0,0.0,0.0,129.79999999999995,101.79999999999995,115.79999999999995,0.37777777777777777,0.0,False,False,3.7777777777777777,a384b483-6b9c-4840-a553-5a527a3cb5e6|b487e259-ebb4-4b0a-baaf-4fc530d16b98,5,candidate_id=NS7tSrMrWsc_cand_04; detected_language=ko; detected_genre=variety_vlog; original_start=1209.2; original_end=1254.2; adjusted=False; 사투리의 특징과 문화에 대한 흥미로운 대화로 독립적인 숏폼으로 적합함.
P002,NS7tSrMrWsc,M-UsuPm7zcM,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,2,1209.2,1254.2,45.0,477.0,501.0,24.0,0.0,0.0,0.0,732.2,753.2,742.7,0.5333333333333333,0.0,False,False,5.333333333333334,a384b483-6b9c-4840-a553-5a527a3cb5e6|b487e259-ebb4-4b0a-baaf-4fc530d16b98,5,candidate_id=NS7tSrMrWsc_cand_04; detected_language=ko; detected_genre=variety_vlog; original_start=1209.2; original_end=1254.2; adjusted=False; 사투리의 특징과 문화에 대한 흥미로운 대화로 독립적인 숏폼으로 적합함.
P003,NS7tSrMrWsc,Fxc1_HkGlBw,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,2,1209.2,1254.2,45.0,581.0,614.0,33.0,0.0,0.0,0.0,628.2,640.2,634.2,0.7333333333333333,0.0,False,False,7.333333333333333,a384b483-6b9c-4840-a553-5a527a3cb5e6|b487e259-ebb4-4b0a-baaf-4fc530d16b98,5,candidate_id=NS7tSrMrWsc_cand_04; detected_language=ko; detected_genre=variety_vlog; original_start=1209.2; original_end=1254.2; adjusted=False; 사투리의 특징과 문화에 대한 흥미로운 대화로 독립적인 숏폼으로 적합함.
P004,NS7tSrMrWsc,QQmGNdNgs8w,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,2,1209.2,1254.2,45.0,1500.0,1541.0,41.0,0.0,0.0,0.0,290.79999999999995,286.79999999999995,288.79999999999995,0.9111111111111111,0.0,False,False,9.11111111111111,a384b483-6b9c-4840-a553-5a527a3cb5e6|b487e259-ebb4-4b0a-baaf-4fc530d16b98,5,candidate_id=NS7tSrMrWsc_cand_04; detected_language=ko; detected_genre=variety_vlog; original_start=1209.2; original_end=1254.2; adjusted=False; 사투리의 특징과 문화에 대한 흥미로운 대화로 독립적인 숏폼으로 적합함.
