pair_id,channel_name,short_video_id,long_video_id,short_duration_sec,long_duration_sec,long_title,short_languages,long_languages,chosen_language,language_choice_reason,short_cue_count,long_cue_count,alignment_status,coverage,mean_match_score,predicted_start,predicted_end,predicted_start_time,predicted_end_time,source_span,segment_count,backward_jumps,span_verdict,span_ratio,accept,needs_gemini
MMID001,OOTB,p2FvA01mUcM,1LrKHwLJiqg,38,2134,마산 앞바다에 공룡 군단의 등장이라 [NC 다이노스] | 야구대표자 입덕가이드 ep.9 [EN],"aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu","aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu",ko-orig,preference_order,11,710,heavy_edit,1.0,84.0,1025.439,1859.919,17:05.439,30:59.919,834.48,2,0,span_implausible,21.96,0,1
MMID002,OOTB,bcPBWxRTiek,HbI8vWmvtmk,19,1545,무슨 색 좋아하세요? [중앙대 정치국제학과] | 전과자 ep.50 [EN],"aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu","aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu",ko-orig,preference_order,7,521,heavy_edit,1.0,89.23,0.199,833.04,00:00.199,13:53.040,832.841,2,0,span_implausible,43.834,0,1
MMID003,숏박스,t9BFuzLzKM0,GCpOvMasiXw,55,388,상담,"aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu","aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu",ko-orig,preference_order,31,161,continuous,0.9735,83.53,267.4,316.61,04:27.400,05:16.610,49.21,1,0,plausible,0.895,1,0
MMID004,숏박스,lIrTQvG3jx8,raGhNxdrKao,48,429,야 속초까지 얼마나 남았냐?,"aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu","aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu",ko-orig,preference_order,39,270,continuous,1.0,88.57,292.32,336.28,04:52.320,05:36.280,43.96,1,0,plausible,0.916,1,0
MMID005,숏박스,GNME7jLUCdE,zWpWm-J8ZDY,57,551,곱창 대창 막창 염통 볶음밥,"aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu","aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu",ko-orig,preference_order,24,277,continuous,1.0,92.46,443.319,499.96,07:23.319,08:19.960,56.641,1,0,plausible,0.994,1,0
MMID006,숏박스,8uyeiurpplI,jMPnvkzK6i8,43,364,쓸데없는 거 너무 많이 샀어,"aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu","aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu",ko-orig,preference_order,35,99,continuous,0.9527,79.79,66.659,109.759,01:06.659,01:49.759,43.1,1,0,plausible,1.002,1,0
MMID007,숏박스,HkjARgPReVU,OvPkbhBmRgY,45,239,오늘만 이 가격,"aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu","aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu",ko-orig,preference_order,33,75,continuous,1.0,86.86,4.86,51.559,00:04.860,00:51.559,46.699,1,0,plausible,1.038,1,0
MMID008,숏박스,OdsJSPsBfR0,8OJ85Ue6RaU,47,350,1차 예선,"aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu","en,ko",ko,preference_order,24,260,continuous,1.0,90.17,99.849,132.006,01:39.849,02:12.006,32.157,1,0,plausible,0.684,1,0
MMID009,숏박스,W-xME6cNnNo,aXTkswSxmQs,36,316,메뉴 어떤 걸로 하시겠어요?,"aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu","aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu",ko-orig,preference_order,17,117,continuous,1.0,87.46,270.28,309.96,04:30.280,05:09.960,39.68,1,0,plausible,1.102,1,0
MMID010,안원잘부,tDs3mcabrFM,Yy58f1A6F-c,55,1692,미나미의 뿌리를 찾아서 | 최종화,"aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu","aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu",ko-orig,preference_order,8,662,light_edit,1.0,89.21,407.414,457.4,06:47.414,07:37.400,49.986,2,0,plausible,0.909,1,0
