"candidate_id","duration_sec","source_vpick_scene_description","short_candidate_description","chars_no_space","generation_method"
"C_10942df5b9a611","41.691","태용의 미니 앨범 곡 소개 여행에 대한 태용의 고백 태용과의 만남 마무리 태용이 자신의 미니 앨범 수록곡 중 애착이 가는 곡으로 여행을 상상하며 만든 '문 투어'를 소개합니다. 여행을 한 번도 가본 적 없다는 태용의 말에 출연진은 안타까워하며 무인도 예능 출연을 제안합니다. 태용과의 촬영을 마친 출연자는 다음 장소인 수제버거 가게로 이동하기 위해 인사를 나눕니다.","태용이 여행을 상상하며 만든 수록곡 '문 투어'를 소개하고, 실제 여행 경험이 없다는 말에 출연진이 무인도 예능 출연을 제안한다.","55","Codex manual synthesis from Vpick scene evidence + final transcript; label-blind"
"C_1974865883eee0","96.0","스타일 과함 논쟁 창가에 나란히 앉은 두 여성이 서로의 의상과 헤어스타일이 너무 과한지 유쾌하게 대화합니다.","두 여성이 서로의 포니테일과 옷차림이 과한지를 두고 티격태격하다가, 지나가는 사람에게 직접 투표를 받아보자고 맞선다.","52","Codex manual synthesis from Vpick scene evidence + final transcript; label-blind"
"C_1bc72ee5d290cc","45.76","곱창 랩과 라이브 준비 식당에서 곱창을 주제로 랩과 이행시를 하며 즐거워하고, 이어지는 라이브 방송을 준비하는 장면입니다.","곱창을 주제로 즉석 랩을 만들던 중 한 출연자의 가사가 엉뚱하게 들리면서, 실제 수술 여부를 묻는 대화로 번진다.","47","Codex manual synthesis from Vpick scene evidence + final transcript; label-blind"
"C_277df4844362e1","34.441","프랑스식 인사법 인사의 중요성 달팽이 요리 먹기 프랑스에서 처음 보는 사람과 눈이 마주쳤을 때 인사하는 예절을 상황극을 통해 배우며 문화적 차이를 확인합니다. 프랑스에서 인사를 하지 않는 것이 왜 예의에 어긋나는 행동인지 배우며, 기본적인 도덕과 예절의 중요성을 강조합니다. 달팽이 요리를 먹는 도구 사용법을 배우며, 직접 시도해보는 과정에서 즐거움을 느끼는 모습이 그려집니다.","프랑스에서는 모르는 사람과 눈이 마주쳐도 웃으며 인사해야 한다는 예절을 배우고, 인사를 하지 않을 때의 인상을 이야기한다.","53","Codex manual synthesis from Vpick scene evidence + final transcript; label-blind"
"C_27f17466563176","29.0","핸드폰을 찾는 상황 옷가게 상황극 소파에 앉아 대화를 나누던 남자가 자신의 핸드폰 위치를 확인하며 주변을 살피는 장면입니다. 옷가게 점원과 손님의 상황극을 하며 맞는 옷이 없다는 말에 당황하는 장면","남자가 잃어버린 줄 알았던 휴대전화를 바로 찾아낸 뒤, 이어진 상황극에서 상대에게 과장된 불평을 쏟아낸다.","46","Codex manual synthesis from Vpick scene evidence + final transcript; label-blind"
"C_2ac88d7a5dd028","46.28","입구 포스터 속 닮은꼴 찾기 메이드 카페 입성 메이드 카페 첫 인사 남성들이 계단을 올라 메이드 카페로 향하며 입구의 화려한 사진과 핑크빛 분위기에 감탄합니다. 핑크색으로 도배된 메이드 카페에 도착한 남성들이 당황하며 입장하여 메이드와 인사를 나눕니다. 메이드 카페에 방문한 네 남성이 메이드들의 환영 인사를 받은 뒤 환복을 위해 이동합니다.","네 남성이 화려한 입구 사진을 보며 메이드 카페에 들어갔다가 온통 분홍색인 내부와 '주인님' 환영 인사에 당황한다.","49","Codex manual synthesis from Vpick scene evidence + final transcript; label-blind"
"C_2c6ef4ac5ccb91","60.321","마케팅팀 업무 파악 셰딩과 메이크업 체험 메이크업과 제품 공유 화장품 마케팅팀을 방문해 브랜드 이미지와 모델에 대해 대화를 나누고 직접 제품을 사용해보는 장면입니다. 사무실에서 20대 여성이 30대 남성에게 쿠션과 셰딩을 직접 발라주며 메이크업을 해주는 장면이다. 30대 남성이 메이크업을 받으며 농담을 나누고, 이어서 검정색 원단이 특징인 모공 패드 제품의 마케팅 콘셉트를 설명하는 장면입니다.","화장품 회사 직원이 남성 출연자에게 쿠션과 셰딩을 직접 발라주고, 출연자는 연예인 이름을 빗댄 농담으로 변화를 확인한다.","52","Codex manual synthesis from Vpick scene evidence + final transcript; label-blind"
"C_316ed9c3bf10ba","48.52","아이의 낮잠 준비 잠들지 않는 아이와 놀이 30대 남성과 20대 여성이 식사를 마친 아이를 보며 낮잠 시간과 트림에 대해 유쾌하게 대화합니다. 남녀가 아이를 돌보다가 잠들지 않는 아이의 체력을 빼놓기 위해 앞에서 춤을 추며 놀아주는 장면입니다.","두 사람이 아기의 낮잠을 준비하며 트림을 시키려다가 서로의 냄새를 아기 냄새로 착각하고, 뒤늦게 아기가 트림하자 안도한다.","53","Codex manual synthesis from Vpick scene evidence + final transcript; label-blind"
"C_3282c045450550","33.0","능숙한 손님 응대 고향이 어디세요? 모찌 가게 직원이 손님과 농담을 하며 배웅하고 새로운 주문을 능숙하게 받습니다. 아이스크림 매장에서 손님과 대화하던 중 서로 고향이 대구임을 확인하며 반가워하는 장면.","아이스크림을 주문하던 손님과 직원이 서로 대구 출신임을 알아보고 사투리로 반가워하다가, 손님이 상대를 처음 본다고 솔직히 말한다.","57","Codex manual synthesis from Vpick scene evidence + final transcript; label-blind"
"C_359c5677ec565b","83.839","강렬한 두리안의 향 BJ 모드와 팬 미션 두 남자가 음식을 먹은 뒤 입안에 남은 강렬한 두리안 향에 대해 이야기하며 콜라를 마십니다. 30대 남성이 음식에 심취한 모습을 보이다가 밤의 놀이터에서 BJ 모드로 팬들의 미션을 수행하는 상황을 설명합니다.","한 출연자가 안무의 다리 동작을 독특한 자세에 빗대며 직접 표현하고, 당사자는 비슷한 점은 있지만 인정하기 싫다고 반응한다.","53","Codex manual synthesis from Vpick scene evidence + final transcript; label-blind"
